,Name,Other_Names,Link,Image_Link
0,Anna Liebert,Nina Fortner,https://myanimelist.net/character/720/Anna_Liebert,https://cdn.myanimelist.net/images/characters/11/286916.jpg
1,Johan Liebert,"Johan Liebheart, Monster",https://myanimelist.net/character/719/Johan_Liebert,https://cdn.myanimelist.net/images/characters/4/316522.jpg
2,Kenzou Tenma,Kenzou Tenma,https://myanimelist.net/character/718/Kenzou_Tenma,https://cdn.myanimelist.net/images/characters/15/347641.jpg
3,Akanbou,The Baby,https://myanimelist.net/character/8612/Akanbou,https://cdn.myanimelist.net/images/characters/2/286770.jpg
4,Anna,Anna,https://myanimelist.net/character/134850/Anna_,https://cdn.myanimelist.net/images/characters/2/294005.jpg
5,Antonin,Antonin,https://myanimelist.net/character/134851/Antonin,https://cdn.myanimelist.net/images/characters/14/294006.jpg
6,BKA Chief,BKA Chief,https://myanimelist.net/character/134857/BKA_Chief,https://cdn.myanimelist.net/images/characters/8/294011.jpg
7,Beate,Beate,https://myanimelist.net/character/134855/Beate,https://cdn.myanimelist.net/images/characters/7/294009.jpg
8,Angelica Belger,Angelica Belger,https://myanimelist.net/character/134847/Angelica__Belger,https://cdn.myanimelist.net/images/characters/10/294003.jpg
9,Hugo Bernhardt,Hugo Bernhardt,https://myanimelist.net/character/122229/Hugo_Bernhardt,https://cdn.myanimelist.net/images/characters/5/284761.jpg
10,Blue Sophie,"Margot Langer, Red Hindenburg",https://myanimelist.net/character/36224/Blue_Sophie,https://cdn.myanimelist.net/images/characters/3/105827.jpg
11,Bodyguard A,Bodyguard A,https://myanimelist.net/character/134858/Bodyguard_A,https://cdn.myanimelist.net/images/characters/6/294012.jpg
12,Bodyguard B,Bodyguard B,https://myanimelist.net/character/134859/Bodyguard_B,https://cdn.myanimelist.net/images/characters/7/294013.jpg
13,Bodyguard C,Bodyguard C,https://myanimelist.net/character/134860/Bodyguard_C,https://cdn.myanimelist.net/images/characters/15/294014.jpg
14,Franz Bonaparta,Klaus Poppe,https://myanimelist.net/character/8615/Franz_Bonaparta,https://cdn.myanimelist.net/images/characters/15/293800.jpg
15,Boy's Mother,Boy's Mother,https://myanimelist.net/character/134864/Boy_039_s_Mother,https://cdn.myanimelist.net/images/characters/11/294018.jpg
16,Karl Brandt,Lawyer,https://myanimelist.net/character/134934/Karl__Brandt,https://cdn.myanimelist.net/images/characters/6/294088.jpg
17,Richard Braun,Richard Braun,https://myanimelist.net/character/36223/Richard_Braun,https://cdn.myanimelist.net/images/characters/2/288466.jpg
18,Carmen,Dancer,https://myanimelist.net/character/134865/Carmen,https://cdn.myanimelist.net/images/characters/15/294019.jpg
19,Chairman,Chairman,https://myanimelist.net/character/134866/Chairman,https://cdn.myanimelist.net/images/characters/15/294020.jpg
20,Charlotte,Charlotte,https://myanimelist.net/character/134867/Charlotte,https://cdn.myanimelist.net/images/characters/10/294021.jpg
21,Chief Detective,Chief Detective,https://myanimelist.net/character/134868/Chief_Detective_,https://cdn.myanimelist.net/images/characters/11/294022.jpg
22,Chief Nepela,Chief Nepela,https://myanimelist.net/character/134870/Chief_Nepela_,https://cdn.myanimelist.net/images/characters/4/294024.jpg
23,Clara,Clara,https://myanimelist.net/character/134872/Clara,https://cdn.myanimelist.net/images/characters/8/294026.jpg
24,Coletta,Coletta,https://myanimelist.net/character/134873/Coletta_,https://cdn.myanimelist.net/images/characters/11/294027.jpg
25,Deniz,Deniz,https://myanimelist.net/character/129333/Deniz,https://cdn.myanimelist.net/images/characters/11/283601.jpg
26,Detective,Detective,https://myanimelist.net/character/134876/Detective,https://cdn.myanimelist.net/images/characters/16/294030.jpg
27,Detective 1,Detective 1,https://myanimelist.net/character/134875/Detective,https://cdn.myanimelist.net/images/characters/2/294029.jpg
28,Detective A,Detective A,https://myanimelist.net/character/134877/Detective_A,https://cdn.myanimelist.net/images/characters/4/294031.jpg
29,Detective A 1,Detective A 1,https://myanimelist.net/character/134878/Detective_A,https://cdn.myanimelist.net/images/characters/8/294032.jpg
30,Detective B,Detective B,https://myanimelist.net/character/134880/Detective_B,https://cdn.myanimelist.net/images/characters/9/294034.jpg
31,Detective Janacek,Detective Janacek,https://myanimelist.net/character/134932/Detective_Janacek,https://cdn.myanimelist.net/images/characters/7/294086.jpg
32,Detective Janda,Zanda,https://myanimelist.net/character/212912/Detective_Janda,https://cdn.myanimelist.net/images/characters/9/478508.jpg
33,Detective Martin,Slowpoke Martin,https://myanimelist.net/character/134944/Detective_Martin,https://cdn.myanimelist.net/images/characters/11/294098.jpg
34,Detective Messener,Detective Messener,https://myanimelist.net/character/212382/Detective_Messener,https://cdn.myanimelist.net/images/characters/6/477240.jpg
35,Detective Novak,Detective Novak,https://myanimelist.net/character/134883/Detective_Novak,https://cdn.myanimelist.net/images/characters/13/294037.jpg
36,Detective Stransky,Detective Stransky,https://myanimelist.net/character/134884/Detective_Stransky,https://cdn.myanimelist.net/images/characters/3/294038.jpg
37,Dieter,Dieter,https://myanimelist.net/character/6329/Dieter,https://cdn.myanimelist.net/images/characters/8/289032.jpg
38,Reinhard Dinger,Reinhard Dinger,https://myanimelist.net/character/217501/Reinhard_Dinger,https://cdn.myanimelist.net/images/characters/14/487843.jpg
39,Dr. Becker,Dr. Becker,https://myanimelist.net/character/134886/Dr_Becker,https://cdn.myanimelist.net/images/characters/12/294040.jpg
40,Dr. Boyer,Dr. Boyer,https://myanimelist.net/character/131782/Dr_Boyer,https://cdn.myanimelist.net/images/characters/12/298904.jpg
41,Dr. Dürer,Dr. Dürer,https://myanimelist.net/character/134888/Dr_D_uuml_rer_,https://cdn.myanimelist.net/images/characters/8/294042.jpg
42,Dr. Eisen,Dr. Eisen,https://myanimelist.net/character/217486/Dr_Eisen,https://cdn.myanimelist.net/images/characters/13/487823.jpg
43,Dr. Geitel,Dr. Geitel,https://myanimelist.net/character/134889/Dr_Geitel_,https://cdn.myanimelist.net/images/characters/3/294043.jpg
44,Dr. Neuer,Dr. Neuer,https://myanimelist.net/character/134890/Dr_Neuer,https://cdn.myanimelist.net/images/characters/16/294044.jpg
45,Dr. Norden,Dr. Norden,https://myanimelist.net/character/217500/Dr_Norden,https://cdn.myanimelist.net/images/characters/7/487842.jpg
46,Dr. Oppenheim,Dr. Oppenheim,https://myanimelist.net/character/134891/Dr_Oppenheim,https://cdn.myanimelist.net/images/characters/15/294045.jpg
47,Dr. Schumann,Dr. Schumann,https://myanimelist.net/character/129994/Dr_Schumann,https://cdn.myanimelist.net/images/characters/3/284681.jpg
48,Dr. Takahashi,Dr. Takahashi,https://myanimelist.net/character/134892/Dr_Takahashi,https://cdn.myanimelist.net/images/characters/6/294046.jpg
49,Edda,Edda,https://myanimelist.net/character/134893/Edda,https://cdn.myanimelist.net/images/characters/9/294047.jpg
50,Edda's Lover,Edda's Lover,https://myanimelist.net/character/215792/Eddas_Lover,https://cdn.myanimelist.net/images/characters/7/484889.jpg
51,Eva's Gardener,Niwashi,https://myanimelist.net/character/217490/Eva_039_s_Gardener,https://cdn.myanimelist.net/images/characters/7/487828.jpg
52,Farmer,Farmer,https://myanimelist.net/character/134901/Farmer,https://cdn.myanimelist.net/images/characters/13/294055.jpg
53,Christianne Fortner,Christianne Fortner,https://myanimelist.net/character/134871/Christianne__Fortner,https://cdn.myanimelist.net/images/characters/7/294025.jpg
54,Erich Fortner,Erich Fortner,https://myanimelist.net/character/134897/Erich_Fortner,https://cdn.myanimelist.net/images/characters/5/294051.jpg
55,Lotte Frank,Lotte Frank,https://myanimelist.net/character/8623/Lotte_Frank,https://cdn.myanimelist.net/images/characters/8/288471.jpg
56,Frankfurt Police Inspector,Frankfurt Police Inspector,https://myanimelist.net/character/134905/Frankfurt_Police_Inspector,https://cdn.myanimelist.net/images/characters/5/294059.jpg
57,Giebel,Giebel,https://myanimelist.net/character/134911/Giebel,https://cdn.myanimelist.net/images/characters/12/294065.jpg
58,Rudy Gillen,Rudy Gillen,https://myanimelist.net/character/8617/Rudy_Gillen,https://cdn.myanimelist.net/images/characters/14/107056.jpg
59,Girl from Burma,Girl from Burma,https://myanimelist.net/character/217260/Girl_from_Burma,https://cdn.myanimelist.net/images/characters/8/487452.jpg
60,Glause,Gross,https://myanimelist.net/character/134912/Glause,https://cdn.myanimelist.net/images/characters/14/294066.jpg
61,Günther Goedelitz,Professor,https://myanimelist.net/character/134914/G_uuml_nther__Goedelitz,https://cdn.myanimelist.net/images/characters/5/294068.jpg
62,Wolfgang Grimmer,Wolfgang Grimmer,https://myanimelist.net/character/3096/Wolfgang_Grimmer,https://cdn.myanimelist.net/images/characters/15/27826.jpg
63,Horst Grossman,Horst Grossman,https://myanimelist.net/character/210777/Horst_Grossman,https://cdn.myanimelist.net/images/characters/3/477583.jpg
64,Hartmann,Hartmann,https://myanimelist.net/character/129332/Hartmann,https://cdn.myanimelist.net/images/characters/9/283600.jpg
65,Otto Heckel,Otto Heckel,https://myanimelist.net/character/8624/Otto_Heckel,https://cdn.myanimelist.net/images/characters/13/287082.jpg
66,Eva Heinemann,Eva Heinemann,https://myanimelist.net/character/6123/Eva_Heinemann,https://cdn.myanimelist.net/images/characters/15/70891.jpg
67,Udo Heinemann,Udo Heinemann,https://myanimelist.net/character/135004/Udo_Heinemann,https://cdn.myanimelist.net/images/characters/6/294158.jpg
68,Franka Heinich,Franca,https://myanimelist.net/character/134904/Franka_Heinich,https://cdn.myanimelist.net/images/characters/12/294058.jpg
69,Henning Heinich,Henning Heinich,https://myanimelist.net/character/216286/Henning_Heinich,https://cdn.myanimelist.net/images/characters/6/485679.jpg
70,Heinz,Heinz,https://myanimelist.net/character/129995/Heinz,https://cdn.myanimelist.net/images/characters/12/288052.jpg
71,Arnold Hess,Arnold Hess,https://myanimelist.net/character/134852/Arnold__Hess,https://cdn.myanimelist.net/images/characters/8/294007.jpg
72,Hospital Director,Hospital Director,https://myanimelist.net/character/217511/Hospital_Director,https://cdn.myanimelist.net/images/characters/9/487853.jpg
73,Hélène,Hélène,https://myanimelist.net/character/214610/H%C3%A9l%C3%A8ne,https://cdn.myanimelist.net/images/characters/2/482625.jpg
74,Toshio Iwai,Toshio Iwai,https://myanimelist.net/character/81643/Toshio_Iwai,https://cdn.myanimelist.net/images/characters/3/287061.jpg
75,Jalka,Jalka,https://myanimelist.net/character/134970/Jalka,https://cdn.myanimelist.net/images/characters/6/294124.jpg
76,Jan Suk's Mother,Jan Suk's Mother,https://myanimelist.net/character/134931/Jan_Suks_Mother,https://cdn.myanimelist.net/images/characters/14/294085.jpg
77,Adolf Junkers,Adolf Junkers,https://myanimelist.net/character/134846/Adolf_Junkers,https://cdn.myanimelist.net/images/characters/3/294002.jpg
78,Peter Jürgens,Peter Jürgens,https://myanimelist.net/character/34401/Peter_J%C3%BCrgens,https://cdn.myanimelist.net/images/characters/12/288470.jpg
79,Franz Kiefer,Franz Kiefer,https://myanimelist.net/character/134906/Franz_Kiefer,https://cdn.myanimelist.net/images/characters/16/294060.jpg
80,Kipper,Kipper,https://myanimelist.net/character/134935/Kipper,https://cdn.myanimelist.net/images/characters/13/294089.jpg
81,Herbert Knaup,Herbert Knaup,https://myanimelist.net/character/134921/Herbert_Knaup,https://cdn.myanimelist.net/images/characters/8/294075.jpg
82,Wim Knaup,Wim Knaup,https://myanimelist.net/character/135009/Wim_Knaup,https://cdn.myanimelist.net/images/characters/4/294163.jpg
83,Kohl,Kohl,https://myanimelist.net/character/129999/Kohl,https://cdn.myanimelist.net/images/characters/2/284686.jpg
84,Milan Kolasch,Milan Kolasch,https://myanimelist.net/character/45169/Milan_Kolasch,https://cdn.myanimelist.net/images/characters/9/389788.jpg
85,Konrad,Konrad,https://myanimelist.net/character/134960/Konrad,https://cdn.myanimelist.net/images/characters/7/294114.jpg
86,Konstantin,Konstantin,https://myanimelist.net/character/217491/Konstantin,https://cdn.myanimelist.net/images/characters/15/487829.jpg
87,Kunz,Kunz,https://myanimelist.net/character/134936/Kunz,https://cdn.myanimelist.net/images/characters/3/294090.jpg
88,Librarian,Librarian,https://myanimelist.net/character/134940/Librarian_,https://cdn.myanimelist.net/images/characters/14/294094.jpg
89,Jaromír Lipský,Jaromír Lipský,https://myanimelist.net/character/23328/Jarom%C3%ADr_Lipsk%C3%BD,https://cdn.myanimelist.net/images/characters/7/288976.jpg
90,Lunge's Daughter,Lunge's Daughter,https://myanimelist.net/character/134941/Lunges_Daughter,https://cdn.myanimelist.net/images/characters/12/294095.jpg
91,Lunge's Wife,Lunge's Wife,https://myanimelist.net/character/134942/Lunges_Wife,https://cdn.myanimelist.net/images/characters/11/294096.jpg
92,Heinrich Lunge,Heinrich Lunge,https://myanimelist.net/character/721/Heinrich_Lunge,https://cdn.myanimelist.net/images/characters/13/272131.jpg
93,Man in Forest,Man in Forest,https://myanimelist.net/character/217492/Man_in_Forest,https://cdn.myanimelist.net/images/characters/12/487830.jpg
94,Martin,Martin,https://myanimelist.net/character/134945/Martin_,https://cdn.myanimelist.net/images/characters/13/294099.jpg
95,Martin's Mother,Martin's Mother,https://myanimelist.net/character/217493/Martin_039_s_Mother,https://cdn.myanimelist.net/images/characters/5/487831.jpg
96,Jacob Maurer,Mauler,https://myanimelist.net/character/134928/Jacob__Maurer,https://cdn.myanimelist.net/images/characters/4/294082.jpg
97,Gunther Milch,Gunther Milch,https://myanimelist.net/character/28692/Gunther_Milch,https://cdn.myanimelist.net/images/characters/13/288459.jpg
98,Gustav Milch,Gustav Milch,https://myanimelist.net/character/32430/Gustav_Milch,https://cdn.myanimelist.net/images/characters/2/288460.jpg
99,Milosz,Miloš,https://myanimelist.net/character/212381/Milosz,https://cdn.myanimelist.net/images/characters/12/477239.jpg
